Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDA,Cytidine deaminase,40122,3814,0.87 [0.81-0.93],4.687113888849144e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDAN1,Codanin-1,40119,3814,0.96 [0.84-1.09],0.50579142701998
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDC123,Cell division cycle protein 123 homolog,38781,3663,1.00 [0.95-1.05],0.9066711725505028
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDC25A,M-phase inducer phosphatase 1,38781,3663,1.03 [0.96-1.12],0.4050000648122995
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDC26,Anaphase-promoting complex subunit CDC26,39974,3785,1.04 [0.99-1.09],0.0936923401777835
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDC27,Cell division cycle protein 27 homolog,45179,4338,1.05 [1.00-1.10],0.0304450712639374
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDC37,Hsp90 co-chaperone Cdc37,46391,4474,1.01 [0.98-1.05],0.4023632580207729
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDC42BPB,Serine/threonine-protein kinase MRCK beta,40052,3794,1.02 [0.99-1.05],0.3078930378572617
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDCP1,CUB domain-containing protein 1,45890,4396,1.17 [1.12-1.23],3.204973823202894e-10
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDH1,Cadherin-1,44698,4300,1.11 [1.04-1.19],0.0012923216665359
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDH15,Cadherin-15,46568,4473,0.92 [0.88-0.97],0.0006522526708552
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDH17,Cadherin-17,46226,4447,0.98 [0.94-1.02],0.3713869928582286
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDH2,Cadherin-2,46226,4447,0.94 [0.88-1.02],0.1260029096807181
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CDH22,Cadherin-22,39487,3726,1.10 [0.99-1.23],0.071328016005885
